post_time,post_name,post_author,post_publication,post_claps,post_responses,post_tag_1,post_tag_2,post_tag_3,post_tag_4,ranking,Searched
2017-11-18,Did Karl Marx Predict Artificial Intelligence 170 Years Ago?,Michael R. McBride,Independent,0.602,6,Technology,Marx,Artificial Intelligence,History,116,Artificial Intelligence
2019-03-13,How To Start a Career In Artificial Intelligence In 2020? A Step by Step Guide,Albert Christopher,Independent,0.418,6,Artificial Intelligence,Machine Learning,Technology,Tech,108,Artificial Intelligence
2018-09-05,Understanding Genetic Algorithms in the Artificial Intelligence Spectrum,Manish Kumar,Analytics Vidhya,1.2,6,Machine Learning,Deep Learning,Neural Networks,Genetic Algorithm,53,Artificial Intelligence
2017-08-09,Transitioning from Software Engineering to Artificial Intelligence,Emmanuel Ameisen,Insight,0.8029999999999999,0,Machine Learning,AI,Software Engineering,Insight Ai,65,Artificial Intelligence
2016-11-07,"If you want to learn Data Science, take a few of these statistics classes",David Venturi,We’ve moved to freeCodeCamp.org/news,3.9,23,Data Science,Programming,Learning To Code,Technology,20,Data Science
2017-12-04,"The Difference Between Artificial Intelligence, Machine Learning, and Deep Learning",Calum McClelland,IoT For All,9.4,40,Artificial Intelligence,Machine Learning,Deep Learning,IoT,5,Artificial Intelligence
2019-01-22,Mastering the Data Science Interview Loop,Andrei Lyskov,Towards Data Science,3.8,7,didn't_use,didn't_use,didn't_use,didn't_use,57,Data Science
2018-05-03,Artificial Intelligence for Music Videos,"Daniel Shapiro, PhD",Towards Data Science,1.2,5,Artificial Intelligence,Deep Learning,Data Science,Machine Learning,35,Artificial Intelligence
2021-01-12,I Studied 365 Data Visualizations in 2020,Avery Smith,Towards Data Science,0.493,1,didn't_use,didn't_use,didn't_use,didn't_use,88,AI
2019-02-24,"How I Eat For Free in NYC Using Python, Automation, Artificial Intelligence, and Instagram",Chris Buetti,Independent,11.0,58,Social Media,Python,Instagram,Data Science,4,Artificial Intelligence
2018-01-19,How To Create A Successful Artificial Intelligence Strategy,Amit Ashwini,The Startup,0.522,2,Machine Learning,AI,Artificial Intelligence,Product Development,157,Artificial Intelligence
2018-09-20,Artificial Intelligence + Blockchain = Passive Income (Forever?),Kirill Shilov,HackerNoon.com,7.0,43,Blockchain,Software Development,Bitcoin,Artificial Intelligence,7,Artificial Intelligence
2018-08-22,Use Kaggle to start (and guide) your ML/ Data Science journey  Why and How,Nityesh Agarwal,Towards Data Science,7.1,30,Machine Learning,Kaggle,Data Science,Towards Data Science,26,Data Science
2019-10-28,Data Visualization  Which graphs should I use? (Seaborn Examples),Rohan Gupta,Towards Data Science,0.395,2,didn't_use,didn't_use,didn't_use,didn't_use,97,AI
2018-09-10,"Programming Skills, A Complete Roadmap for Learning Data Science  Part 1",Rebecca Vickery,vickdata,4.3,16,Data Science,Learning To Code,Python,Machine Learning,43,Data Science
2018-10-09,Storytelling with Data: A Data Visualization Guide for Business Professionals,Admond Lee,Towards Data Science,0.252,1,Data Visualization,Towards Data Science,Data Science,Motivation,155,AI
2017-03-10,Gestalt Principles for Data Visualization,Elijah Meeks,Independent,0.322,0,Data Visualization,Design,Data Science,didn't_use,127,AI
2017-03-03,Making Annotations First-Class Citizens in Data Visualization,Elijah Meeks,Independent,0.255,2,Data Visualization,JavaScript,Design,React,116,AI
2018-10-09,Data visualization for color accessibility,Artur,UX Collective,0.451,4,Design,Accessibility,Product,Apps,124,AI
2018-06-12,"Data Science, Machine Learning and Artificial Intelligence for Art",Vishal Kumar,Towards Data Science,2.9,9,didn't_use,didn't_use,didn't_use,didn't_use,127,Data Science
2019-10-16,Kepler.GL & Jupyter Notebooks: Geospatial Data Visualization with Ubers opensource Kepler.GL,Abdishakur,Towards Data Science,0.47,3,didn't_use,didn't_use,didn't_use,didn't_use,94,AI
2020-07-09,"4 pillars of data visualization: distribution, relationship, composition, comparison",Mahbubul Alam,Towards Data Science,0.097,0,didn't_use,didn't_use,didn't_use,didn't_use,179,AI
2018-11-08,Lesser Known Python Libraries for Data Science,Parul Pandey,Analytics Vidhya,5.8,20,About Us,Deep Learning,Machine Learning,Hackathon,32,Data Science
2020-07-21,Remote Data Science Internships For Everyone [With Certificates],Frederik Bussler,Noteworthy - The Journal Blog,1.6,4,Your Stories,Try Journal,didn't_use,didn't_use,114,Data Science
2017-04-05,"How To Prepare for Automation? Or, Why We Need More Artificial Intelligence Ecosystems Now!",Erik P.M. Vermeulen,HackerNoon.com,0.094,2,Startup,Venture Capital,Artificial Intelligence,Innovation,141,Artificial Intelligence
2017-02-08,Mark Cuban on Why You Need to Study Artificial Intelligence or Youll be a Dinosaur in 3 Years,Mark Suster,Both Sides of the Table,0.971,17,Startup,Artificial Intelligence,Startup Lessons,Venture Capital,14,Artificial Intelligence
2021-05-11,Artificial Intelligence Books you should read in 2021,Przemek Chojecki,Data Science Rush,0.19,7,Courses,Our Website,didn't_use,didn't_use,128,Artificial Intelligence
2018-10-05,How to Data Science without a Degree,Jason Jung,Towards Data Science,4.5,19,didn't_use,didn't_use,didn't_use,didn't_use,58,Data Science
2020-02-29,Complete Guide to Data Visualization with Python,Albert Sanchez Lafuente,Towards Data Science,0.928,3,didn't_use,didn't_use,didn't_use,didn't_use,49,AI
2019-02-03,How It Feels to Learn Data Science in 2019,Thomas Nield,Towards Data Science,7.4,37,Data Science,Towards Data Science,Machine Learning,Artificial Intelligence,25,Data Science
2020-06-07,Why is Data Science Losing Its Charm?,Harshit Ahuja,Towards Data Science,4.8,57,didn't_use,didn't_use,didn't_use,didn't_use,18,Data Science
2016-02-14,7 Data Visualization Types You Should be Using More (and How to Start),Evan Sinar,Independent,1.1,11,Data Visualization,Analytics,Data Science,A Place to Read More about It,32,AI
2018-02-10,How to write a production-level code in Data Science?,"Venkatesh Pappakrishnan, Ph.D.",Towards Data Science,3.4,30,didn't_use,didn't_use,didn't_use,didn't_use,67,Data Science
2019-01-29,Why visual literacy is essential to good data visualization,Benjamin Cooley,Towards Data Science,0.945,9,Data Visualization,Data,Design,Data Science,44,AI
2020-02-04,I Designed My Own Machine Learning and Artificial Intelligence Degree,Angelica Dietzel,Better Programming,0.905,8,Archive,Write For Us,didn't_use,didn't_use,51,Artificial Intelligence
2017-09-19,Artificial Intelligence: Get your users to label your data,"Daniel Shapiro, PhD",Towards Data Science,0.843,2,Machine Learning,Artificial Intelligence,Deep Learning,Data Science,82,Artificial Intelligence
2019-03-06,A full-stack data science project,Naren Santhanam,Towards Data Science,1.1,9,didn't_use,didn't_use,didn't_use,didn't_use,179,Data Science
2017-10-30,45 Ways to Activate Your Data Science Career,Kirill Eremenko,Towards Data Science,3.2,6,Data Science,Careers,Machine Learning,Towards Data Science,95,Data Science
2018-03-01,5 Quick and Easy Data Visualizations in Python with Code,George Seif,Towards Data Science,10.9,19,Data Science,Visualization,Python,Data Visualization,2,AI
2017-12-12,Embodied Learning is Essential to Artificial Intelligence,Carlos E. Perez,Intuition Machine,1.7,8,Artificial Intelligence,Deep Learning,Strategy,Deep Learning Playbook,45,Artificial Intelligence
2017-05-09,Top 15 Python Libraries for Data Science in 2017,Igor Bobriakov,ActiveWizards — AI & ML for startups,5.9,22,Machine Learning,Data Science,Python,didn't_use,24,Data Science
2020-05-22,Constructing a Career in Data Visualization: The How,Will Chase,Nightingale,0.631,8,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,84,AI
2018-03-31,The World of Data Visualization,Syed Sadat Nazrul,Towards Data Science,0.272,0,Data Visualization,Machine Learning,didn't_use,didn't_use,172,AI
2017-01-19,Types of Artificial Intelligence Learning Models,Jesus Rodriguez,Independent,0.222,3,didn't_use,didn't_use,didn't_use,didn't_use,153,Artificial Intelligence
2017-01-25,"I ranked every Intro to Data Science course on the internet, based on thousands of data points",David Venturi,We’ve moved to freeCodeCamp.org/news,6.4,64,Data Science,Programming,Big Data,Tech,6,Data Science
2020-10-10,Go Programming Language for Artificial Intelligence and Data Science of the 20s,Dasaradh K. Saravanan,Towards Data Science,1.5,29,didn't_use,didn't_use,didn't_use,didn't_use,117,Data Science
2018-12-02,A long-term Data Science roadmap which WONT help you become an expert in only several months,Andrew Lukyanenko,Towards Data Science,4.7,15,Data Science,Roadmaps,Arseny Kravchenko,Denis Vorotyntsev,46,Data Science
2017-06-08,5 Reasons Why We Should Study and Embrace Artificial Intelligence!,Erik P.M. Vermeulen,HackerNoon.com,0.373,2,Fintech,Artificial Intelligence,Innovation,Business,124,Artificial Intelligence
2018-12-15,Data Visualization for Machine Learning and Data science:,Sanat,Towards Data Science,0.529,5,Data Science,Machine Learning,Data Visualization,didn't_use,122,AI
2019-09-30,How to Learn Data Science for Free,Rebecca Vickery,Towards Data Science,6.6,21,didn't_use,didn't_use,didn't_use,didn't_use,17,Data Science
2018-04-17,Importance of Artificial Intelligence in Dentistry,Shashank Gupta,Healthcare in America,0.51,0,Dentistry,Artificial Intelligence,AI,Dentist,151,Artificial Intelligence
2018-05-15,A Closer Look at Three Popular Artificial Intelligence Technologies and How Theyre Used,Kerri Hale,Towards Data Science,0.58,0,Artificial Intelligence,Machine Learning,AI,Tech,100,Artificial Intelligence
2016-09-26,"If you want to learn Data Science, start with one of these programming classes",David Venturi,We’ve moved to freeCodeCamp.org/news,7.3,54,Education,Programming,Data Science,Learning To Code,4,Data Science
2017-08-09,Artificial Intelligence and the Rise of Economic Inequality,Abhinav Suri,Towards Data Science,0.742,9,Technology,AI,Economic Inequality,Society,118,Artificial Intelligence
2020-12-28,8 Rules for optimal use of color in data visualization,Aseem Kashyap,Towards Data Science,0.329,4,didn't_use,didn't_use,didn't_use,didn't_use,121,AI
2020-02-12,The Jira mindset is damaging your data science team,Dave Dale,Towards Data Science,2.6,23,Data Science,Project Management,Leadership,Machine Learning,61,Data Science
2016-11-18,"The 10 Best AI, Data Science and Machine Learning Podcasts",Matt Fogel,Startup Grind,1.3,21,Machine Learning,Data Science,Podcasts,Artificial Intelligence,111,Data Science
2018-01-11,Accessible Colors for Data Visualization,Zach Grosser,Independent,0.307,1,didn't_use,didn't_use,didn't_use,didn't_use,171,AI
2019-04-21,Building Stock Selection into an Artificial Intelligence Framework,Luke Posey,Towards Data Science,0.382,4,didn't_use,didn't_use,didn't_use,didn't_use,106,Artificial Intelligence
2019-02-11,What no one will tell you about data science job applications,Edouard Harris,Towards Data Science,5.1,29,Hiring,Machine Learning,Data Science,Job Hunting,30,Data Science
2019-07-10,What Are Data Visualization Style Guidelines?,Amy Cesal,Nightingale,1.5,7,Design,Data,Data Visualization,Style Guides,40,AI
2020-08-16,7 Deadly Sins of Data Visualization,Slava Shestopalov,Muzli - Design Inspiration,4.2,19,Visual Design,Design,Data Visualization,UI,18,AI
2018-09-06,Data Science Skills: Web scraping using python,Kerry Parker,Towards Data Science,6.1,42,Web Development,Python,Web Scraping,Data Science,27,Data Science
2017-05-31,"The best Data Science courses on the internet, ranked by your reviews",David Venturi,We’ve moved to freeCodeCamp.org/news,7.1,32,Data Science,Tech,Technology,Programming,8,Data Science
2018-04-28,"Web Scraping, Regular Expressions, and Data Visualization: Doing it all in Python",Will Koehrsen,Towards Data Science,9.0,34,Data Science,Programming,Education,Computer Science,3,AI
2020-08-19,"Why artificial intelligence needs an open, decentralised platform to serve the world",Fetch.ai,Fetch.ai,3.2,4,Artificial Intelligence,Blockchain,Data,Technology,139,Artificial Intelligence
2019-09-04,5 Beginner Friendly Steps to Learn Machine Learning and Data Science with Python,Daniel Bourke,Towards Data Science,2.2,7,didn't_use,didn't_use,didn't_use,didn't_use,109,Data Science
2021-02-01,9 Distance Measures in Data Science,Maarten Grootendorst,Towards Data Science,3.2,18,didn't_use,didn't_use,didn't_use,didn't_use,38,Data Science
2020-05-18,Top 9 Data Science Projects for a Beginner in 2020,Rashi Desai,Towards Data Science,0.94,3,didn't_use,didn't_use,didn't_use,didn't_use,158,Data Science
2018-09-05,Do We Need to Dehumanize Artificial Intelligence?,Michael Burkhardt,Omdena,0.4920000000000001,1,Join a project,About Omdena,didn't_use,didn't_use,155,Artificial Intelligence
2019-04-30,The Fastest Way to Learn Data Science,Rebecca Vickery,Towards Data Science,2.0,5,didn't_use,didn't_use,didn't_use,didn't_use,119,Data Science
2021-05-05,How I Used Data Science to Double My Income In One Year,Terence Shin,Towards Data Science,1.7,11,didn't_use,didn't_use,didn't_use,didn't_use,115,Data Science
2018-05-04,What is data visualization for?,Eric Rodenbeck,Hi.Stamen,0.463,1,Data Visualization,Design,Museums,Media,161,AI
2017-06-05,An overview of every Data Visualization course on the internet,David Venturi,We’ve moved to freeCodeCamp.org/news,1.4,6,Data Science,Education,Tech,Startup,25,AI
2019-04-04,Was it Worth Studying a Data Science Masters?,"Sterling Osborne, PhD Researcher",Towards Data Science,1.2,9,didn't_use,didn't_use,didn't_use,didn't_use,177,Data Science
2019-10-24,How to Choose Colors for Your Data Visualizations,Michael Yi,Nightingale,1.0,2,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,42,AI
2018-04-01,M2M Day 90 How I used Artificial Intelligence to automate Tinder,Jeffrey Li,Towards Data Science,1.92,10,Machine Learning,Artificial Intelligence,Data Science,Learning,40,Artificial Intelligence
2020-01-02,The Data Science Behind the Man Who Solved the Market,Haixun Wang,The Startup,1.5,7,[June] Call for Submissions,Editor's Picks,Top 10 Stories,Submit,145,Data Science
2019-10-01,How to Master Data Visualization,Lucy Todd,Modus,2.4,11,Design Thinking,Visual Communication,Data Visualization,Design,16,AI
2016-05-17,The Road to Artificial Intelligence,Rand Hindi,Snips Blog,0.331,13,Artificial Intelligence,Machine Learning,Privacy,Engineering,47,Artificial Intelligence
2015-12-08,Investing in Artificial Intelligence,Nathan Benaich,Independent,0.29600000000000004,7,Machine Learning,Artificial Intelligence,Venture Capital,Deep Learning,59,Artificial Intelligence
2018-03-08,Data visualization with react-vis,Shyianovska Nataliia,DailyJS,1.2,10,React,React Vis,Data Visualization,JavaScript,53,AI
2020-10-12,Top 7 FREE Artificial Intelligence Courses from the Ivy League Universities,Roman Orac,Towards Data Science,0.157,1,didn't_use,didn't_use,didn't_use,didn't_use,154,Artificial Intelligence
2019-07-15,Beyond Nightingale: Being a Woman in Data Visualization,Stephanie Evergreen,Nightingale,1.1,11,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,78,AI
2017-08-13,How to convince Venture Capitalists youre an expert in Artificial Intelligence,Robbie Allen,Machine Learning in Practice,0.335,7,Artificial Intelligence,Venture Capital,Startup,Entrepreneurship,133,Artificial Intelligence
2019-06-07,Top 10 Data Science Leaders You Should Follow,Admond Lee,Towards Data Science,1.5,5,didn't_use,didn't_use,didn't_use,didn't_use,142,Data Science
2017-10-22,Artificial Intelligence is More than Just a Technology,Erik P.M. Vermeulen,HackerNoon.com,1.6,14,Innovation,Business,Entrepreneurship,Life,43,Artificial Intelligence
2018-06-22,5 Data Science Projects That Will Get You Hired in 2018,John Sullivan,Independent,2.6,14,Data Science,Machine Learning,Analytics,Data Visualization,68,Data Science
2019-12-23,Python For Data Science  Advance Guide to Data Visualization with Plotly,Nicholas Leong,Towards Data Science,0.647,3,didn't_use,didn't_use,didn't_use,didn't_use,70,AI
2018-05-04,So your data science project isnt working,Jacqueline Nolis,Independent,2.0,15,Data Science,didn't_use,didn't_use,didn't_use,169,Data Science
2018-03-17,"Data Visualization with Bokeh in Python, Part I: Getting Started",Will Koehrsen,Towards Data Science,4.1,19,Data Science,Python,Education,Visualization,10,AI
2019-08-04,Data visualization with Plotly,Valentina Alto,DataSeries,0.321,1,ROUNDTABLES INSIGHTS,TOPIC DEEP DIVES,ABOUT,POWERED BY OPENOCEAN VC,114,AI
2018-09-04,Leveraging Artificial Intelligence For Swing Trading Outperformance,Sean McLaughlin,Independent,0.626,5,Trading,Investing,Finance,Artificial Intelligence,74,Artificial Intelligence
2020-11-29,Ten of the Best Data Visualizations Created In 2020,Terence Shin,Towards Data Science,0.518,2,didn't_use,didn't_use,didn't_use,didn't_use,72,AI
2017-10-26,The 7 Kinds of Data Visualization People,Elijah Meeks,Nightingale,2.9,13,Data Visualization,Data Science,Design,Data Journalism,15,AI
2015-04-20,The 7 Best Data Science and Machine Learning Podcasts,Matt Fogel,The Startup,1.0,14,Podcast,Data Science,Machine Learning,Submit,82,Data Science
2017-07-10,Data Science Simplified Part 1: Principles and Process,Pradeep Menon,Becoming Human: Artificial Intelligence Magazine,1.2,7,Machine Learning,Data Science,Analytics,Artificial Intelligence,110,Data Science
2020-03-02,Interactive Geospatial Data Visualization with Geoviews in Python,Abdishakur,Towards Data Science,0.376,2,didn't_use,didn't_use,didn't_use,didn't_use,98,AI
2019-09-04,Top 7 Data Science Course Repositories on GitHub,Fatos Morina,Towards Data Science,1.6,2,didn't_use,didn't_use,didn't_use,didn't_use,146,Data Science
2019-01-10,A Non-Technical Reading List for Data Science,Will Koehrsen,Towards Data Science,2.8,10,Data Science,Reading,Education,Towards Data Science,93,Data Science
2018-12-31,Data Science for Algorithmic Trading,"Daniel Shapiro, PhD",Towards Data Science,1.6,10,Machine Learning,Data Science,Stock Market,Artificial Intelligence,153,Data Science
2018-03-20,Data visualization hacks,Becca Selah,UX Collective,0.8959999999999999,5,Data Visualization,User Experience,Data,Visual Design,80,AI
2019-03-05,The 20 Best Examples of Using Artificial Intelligence for Retail Experiences,anonymous,Independent,0.66,2,didn't_use,didn't_use,didn't_use,didn't_use,73,Artificial Intelligence
2019-01-25,The Simple Yet Practical Data Visualization Codes,Admond Lee,Towards Data Science,0.574,3,Data Visualization,Data Science,Education,Towards Data Science,95,AI
2018-02-22,Is the Purpose of Artificial Intelligence to Sell Sugar Water?,Carlos E. Perez,Intuition Machine,2.7,5,Bitcoin,Deeplearning,Artificial Intelligence,Deep Learning Playbook,33,Artificial Intelligence
2017-10-12,Collecting Data Science Cheat Sheets,Karlijn Willems,Towards Data Science,3.1,14,Data Science,Data Analysis,Big Data,Data Visualization,84,Data Science
2018-08-18,What on earth is data science?,Cassie Kozyrkov,HackerNoon.com,3.7,17,Data Science,Statistics,Machine Learning,Artificial Intelligence,104,Data Science
2018-04-04,The Successful Data Science Job Hunt,Kristen Kehrer,Towards Data Science,1.4,10,didn't_use,didn't_use,didn't_use,didn't_use,166,Data Science
2019-01-15,Data Science,Ben Chen,Independent,5.3,6,Data Science,Machine Learning,資料科學,機器學習,164,Data Science
2017-09-25,Data Visualization,Shandy Tsai,UXeastmeetswest,4.1,7,UX,UI,UX Design,Jobs,21,AI
2020-04-30,The Ultimate Guide to Becoming an Artificial Intelligence Expert,Adam Maj,Independent,1.92,3,Artificial Intelligence,Machine Learning,Deep Learning,Education,96,Artificial Intelligence
2018-03-26,Boost your data science skills. Learn linear algebra.,Hadrien Jean,Towards Data Science,3.7,9,Machine Learning,Deep Learning,Linear Algebra,Data Science,75,Data Science
2020-12-16,An overview of common data visualization mistakes,Micah Bowers,UX Collective,0.35200000000000004,3,Data Visualization,Design,UX,Data Science,159,AI
2018-12-11,Geographical Data Visualization with Mapbox,Todd Birchard,Hackers and Slackers,0.677,3,didn't_use,didn't_use,didn't_use,didn't_use,91,AI
2018-12-10,Pitching Artificial Intelligence to Business People,"Daniel Shapiro, PhD",Towards Data Science,0.227,2,Artificial Intelligence,Machine Learning,Data Science,Marketing,158,Artificial Intelligence
2018-12-18,Do you need a graduate degree for data science?,Jeremie Harris,Towards Data Science,2.8,24,Data Science,Machine Learning,Towards Data Science,Hiring,120,Data Science
2018-01-31,How to Transform Boring and Dry Reports with Data Visualization,Payman Taei,Towards Data Science,0.466,3,Data Visualization,Charts And Graphs,Infographics,Data Analysis,128,AI
2019-07-20,Tutorial on Data Visualization: Weather Data,Benjamin Obi Tayo Ph.D.,Towards AI,0.644,1,For Authors,Categories,Latest,About,148,AI
2019-12-09,How I Quit My Full-Time Job to Pursue a Freelance Career As a Data Visualization Designer,Jane Zhang,Nightingale,0.8240000000000001,2,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,100,AI
2019-05-08,How Artificial Intelligence Is Tracking Sex Traffickers,Liz Brody,OneZero,3.3,12,didn't_use,didn't_use,didn't_use,didn't_use,31,Artificial Intelligence
2016-12-15,Embracing Cognitive Biases in Artificial Intelligence to Build One Shot Learners,Daniel Jeffries,HackerNoon.com,0.053,2,Artificial Intelligence,Machine Learning,One Shot Learners,Cognitive Bias,179,Artificial Intelligence
2018-06-07,Artificial Intelligence Is Humanity's Rorschach Test,Michael Solana,Independent,2.0,18,didn't_use,didn't_use,didn't_use,didn't_use,42,Artificial Intelligence
2017-11-15,Data Visualization in Python  Bar Graph in Matplotlib,Adnan Siddiqi,Python Pandemonium,0.568,9,Data Science,Data Visualization,Python,Matplotlib,101,AI
2015-07-15,Artificial Intelligence and the Future of Work,Blake Irving,Independent,0.17800000000000002,3,Future Of Work,Artificial Intelligence,Small Business,didn't_use,86,Artificial Intelligence
2018-04-13,Hands on Graph Data Visualization,Michael Hunger,Neo4j Developer Blog,0.452,6,Neo4j,Data Visualization,JavaScript,Developer,144,AI
2018-12-09,Understanding Artificial Intelligence,David Alayón,Future Today,1.1,15,Artificial Intelligence,AI,Innovation,Technology,62,Artificial Intelligence
2016-01-01,Use Animation to Supercharge Data Visualization,Evan Sinar,Independent,0.42,5,Data Visualization,Analytics,Animation,GIFMaker,120,AI
2018-08-09,Data Science A-Z from Zero to Kaggle Kernels Master,Leonardo Ferreira,Towards Data Science,5.9,31,Data Science,Machine Learning,Kaggle,Technology,37,Data Science
2018-11-01,"Some Important Data Science Tools that arent Python, R, SQL or Math",Kyle Gallatin,Towards Data Science,1.8,4,didn't_use,didn't_use,didn't_use,didn't_use,140,Data Science
2018-11-27,Matplotlib  Making data visualization interesting,Karan Bhanot,Towards Data Science,0.6659999999999999,2,Data Visualization,Data Science,Machine Learning,Matplotlib,75,AI
2016-11-17,Reinforcement Learning: Artificial Intelligence in Game Playing,Pavel Kordík,Independent,0.275,3,Machine Learning,Artificial Intelligence,Reinforcement Learning,didn't_use,165,Artificial Intelligence
2018-11-13,How to build a data science project from scratch,Jekaterina Kokatjuhha,We’ve moved to freeCodeCamp.org/news,4.0,18,Machine Learning,Data Science,Data Visualization,Data Analysis,60,Data Science
